ID,Input1,Type,Input2
R7_G8,R7_G6,NAND,Q7_BAR
Q7_BAR,R7_G7,NAND,R7_G8
Q7,Q7_BAR,NAND,Q7_BAR
R8_G2,D8,NAND,CLK
R8_G3,D8,NAND,R8_G2
R8_G4,R8_G2,NAND,R8_G5
R8_G5,R8_G3,NAND,R8_G4
R8_G6,R8_G4,NAND,CLK_BAR
R8_G7,R8_G4,NAND,R8_G6
R8_G8,R8_G6,NAND,Q8_BAR
Q8_BAR,R8_G7,NAND,R8_G8
Q8,Q8_BAR,NAND,Q8_BAR
R9_G2,D9,NAND,CLK
R9_G3,D9,NAND,R9_G2
R9_G4,R9_G2,NAND,R9_G5
R9_G5,R9_G3,NAND,R9_G4
R9_G6,R9_G4,NAND,CLK_BAR
R9_G7,R9_G4,NAND,R9_G6
R9_G8,R9_G6,NAND,Q9_BAR
Q9_BAR,R9_G7,NAND,R9_G8
Q9,Q9_BAR,NAND,Q9_BAR
R10_G2,D10,NAND,CLK
R10_G3,D10,NAND,R10_G2
R10_G4,R10_G2,NAND,R10_G5
R10_G5,R10_G3,NAND,R10_G4
R10_G6,R10_G4,NAND,CLK_BAR
R10_G7,R10_G4,NAND,R10_G6
R10_G8,R10_G6,NAND,Q10_BAR
Q10_BAR,R10_G7,NAND,R10_G8
Q10,Q10_BAR,NAND,Q10_BAR
R11_G2,D11,NAND,CLK
R11_G3,D11,NAND,R11_G2
R11_G4,R11_G2,NAND,R11_G5
R11_G5,R11_G3,NAND,R11_G4
R11_G6,R11_G4,NAND,CLK_BAR
R11_G7,R11_G4,NAND,R11_G6
R11_G8,R11_G6,NAND,Q11_BAR
Q11_BAR,R11_G7,NAND,R11_G8
Q11,Q11_BAR,NAND,Q11_BAR
R12_G2,D12,NAND,CLK
R12_G3,D12,NAND,R12_G2
R12_G4,R12_G2,NAND,R12_G5
R12_G5,R12_G3,NAND,R12_G4
R12_G6,R12_G4,NAND,CLK_BAR
R12_G7,R12_G4,NAND,R12_G6
R12_G8,R12_G6,NAND,Q12_BAR
Q12_BAR,R12_G7,NAND,R12_G8
Q12,Q12_BAR,NAND,Q12_BAR
R13_G2,D13,NAND,CLK
R13_G3,D13,NAND,R13_G2
R13_G4,R13_G2,NAND,R13_G5
R13_G5,R13_G3,NAND,R13_G4
R13_G6,R13_G4,NAND,CLK_BAR
R13_G7,R13_G4,NAND,R13_G6
R13_G8,R13_G6,NAND,Q13_BAR
Q13_BAR,R13_G7,NAND,R13_G8
Q13,Q13_BAR,NAND,Q13_BAR
R14_G2,D14,NAND,CLK
R14_G3,D14,NAND,R14_G2
R14_G4,R14_G2,NAND,R14_G5
R14_G5,R14_G3,NAND,R14_G4
R14_G6,R14_G4,NAND,CLK_BAR
R14_G7,R14_G4,NAND,R14_G6
R14_G8,R14_G6,NAND,Q14_BAR
Q14_BAR,R14_G7,NAND,R14_G8
Q14,Q14_BAR,NAND,Q14_BAR
R15_G2,D15,NAND,CLK
R15_G3,D15,NAND,R15_G2
R15_G4,R15_G2,NAND,R15_G5
R15_G5,R15_G3,NAND,R15_G4
R15_G6,R15_G4,NAND,CLK_BAR
R15_G7,R15_G4,NAND,R15_G6
R15_G8,R15_G6,NAND,Q15_BAR
Q15_BAR,R15_G7,NAND,R15_G8
Q15,Q15_BAR,NAND,Q15_BAR
