ID,Input1,Type,Input2
R7_G8,R7_G6,NAND,Q7_BAR
Q7_BAR,R7_G7,NAND,R7_G8
Q7,Q7_BAR,NAND,Q7_BAR
R8_G2,D8,NAND,CLK
R8_G3,D8,NAND,R8_G2
R8_G4,R8_G2,NAND,R8_G5
R8_G5,R8_G3,NAND,R8_G4
R8_G6,R8_G4,NAND,CLK_BAR
R8_G7,R8_G4,NAND,R8_G6
R8_G8,R8_G6,NAND,Q8_BAR
Q8_BAR,R8_G7,NAND,R8_G8
Q8,Q8_BAR,NAND,Q8_BAR
R9_G2,D9,NAND,CLK
R9_G3,D9,NAND,R9_G2
R9_G4,R9_G2,NAND,R9_G5
R9_G5,R9_G3,NAND,R9_G4
R9_G6,R9_G4,NAND,CLK_BAR
R9_G7,R9_G4,NAND,R9_G6
R9_G8,R9_G6,NAND,Q9_BAR
Q9_BAR,R9_G7,NAND,R9_G8
Q9,Q9_BAR,NAND,Q9_BAR
R10_G2,D10,NAND,CLK
R10_G3,D10,NAND,R10_G2
R10_G4,R10_G2,NAND,R10_G5
R10_G5,R10_G3,NAND,R10_G4
R10_G6,R10_G4,NAND,CLK_BAR
R10_G7,R10_G4,NAND,R10_G6
R10_G8,R10_G6,NAND,Q10_BAR
Q10_BAR,R10_G7,NAND,R10_G8
Q10,Q10_BAR,NAND,Q10_BAR
R11_G2,D11,NAND,CLK
R11_G3,D11,NAND,R11_G2
R11_G4,R11_G2,NAND,R11_G5
R11_G5,R11_G3,NAND,R11_G4
R11_G6,R11_G4,NAND,CLK_BAR
R11_G7,R11_G4,NAND,R11_G6
R11_G8,R11_G6,NAND,Q11_BAR
Q11_BAR,R11_G7,NAND,R11_G8
Q11,Q11_BAR,NAND,Q11_BAR
R12_G2,D12,NAND,CLK
R12_G3,D12,NAND,R12_G2
R12_G4,R12_G2,NAND,R12_G5
R12_G5,R12_G3,NAND,R12_G4
R12_G6,R12_G4,NAND,CLK_BAR
R12_G7,R12_G4,NAND,R12_G6
R12_G8,R12_G6,NAND,Q12_BAR
Q12_BAR,R12_G7,NAND,R12_G8
Q12,Q12_BAR,NAND,Q12_BAR
R13_G2,D13,NAND,CLK
R13_G3,D13,NAND,R13_G2
R13_G4,R13_G2,NAND,R13_G5
R13_G5,R13_G3,NAND,R13_G4
R13_G6,R13_G4,NAND,CLK_BAR
R13_G7,R13_G4,NAND,R13_G6
R13_G8,R13_G6,NAND,Q13_BAR
Q13_BAR,R13_G7,NAND,R13_G8
Q13,Q13_BAR,NAND,Q13_BAR
R14_G2,D14,NAND,CLK
R14_G3,D14,NAND,R14_G2
R14_G4,R14_G2,NAND,R14_G5
R14_G5,R14_G3,NAND,R14_G4
R14_G6,R14_G4,NAND,CLK_BAR
R14_G7,R14_G4,NAND,R14_G6
R14_G8,R14_G6,NAND,Q14_BAR
Q14_BAR,R14_G7,NAND,R14_G8
Q14,Q14_BAR,NAND,Q14_BAR
R15_G2,D15,NAND,CLK
R15_G3,D15,NAND,R15_G2
R15_G4,R15_G2,NAND,R15_G5
R15_G5,R15_G3,NAND,R15_G4
R15_G6,R15_G4,NAND,CLK_BAR
R15_G7,R15_G4,NAND,R15_G6
R15_G8,R15_G6,NAND,Q15_BAR
Q15_BAR,R15_G7,NAND,R15_G8
Q15,Q15_BAR,NAND,Q15_BAR
R16_G2,D16,NAND,CLK
R16_G3,D16,NAND,R16_G2
R16_G4,R16_G2,NAND,R16_G5
R16_G5,R16_G3,NAND,R16_G4
R16_G6,R16_G4,NAND,CLK_BAR
R16_G7,R16_G4,NAND,R16_G6
R16_G8,R16_G6,NAND,Q16_BAR
Q16_BAR,R16_G7,NAND,R16_G8
Q16,Q16_BAR,NAND,Q16_BAR
R17_G2,D17,NAND,CLK
R17_G3,D17,NAND,R17_G2
R17_G4,R17_G2,NAND,R17_G5
R17_G5,R17_G3,NAND,R17_G4
R17_G6,R17_G4,NAND,CLK_BAR
R17_G7,R17_G4,NAND,R17_G6
R17_G8,R17_G6,NAND,Q17_BAR
Q17_BAR,R17_G7,NAND,R17_G8
Q17,Q17_BAR,NAND,Q17_BAR
R18_G2,D18,NAND,CLK
R18_G3,D18,NAND,R18_G2
R18_G4,R18_G2,NAND,R18_G5
R18_G5,R18_G3,NAND,R18_G4
R18_G6,R18_G4,NAND,CLK_BAR
R18_G7,R18_G4,NAND,R18_G6
R18_G8,R18_G6,NAND,Q18_BAR
Q18_BAR,R18_G7,NAND,R18_G8
Q18,Q18_BAR,NAND,Q18_BAR
R19_G2,D19,NAND,CLK
R19_G3,D19,NAND,R19_G2
R19_G4,R19_G2,NAND,R19_G5
R19_G5,R19_G3,NAND,R19_G4
R19_G6,R19_G4,NAND,CLK_BAR
R19_G7,R19_G4,NAND,R19_G6
R19_G8,R19_G6,NAND,Q19_BAR
Q19_BAR,R19_G7,NAND,R19_G8
Q19,Q19_BAR,NAND,Q19_BAR
R20_G2,D20,NAND,CLK
R20_G3,D20,NAND,R20_G2
R20_G4,R20_G2,NAND,R20_G5
R20_G5,R20_G3,NAND,R20_G4
R20_G6,R20_G4,NAND,CLK_BAR
R20_G7,R20_G4,NAND,R20_G6
R20_G8,R20_G6,NAND,Q20_BAR
Q20_BAR,R20_G7,NAND,R20_G8
Q20,Q20_BAR,NAND,Q20_BAR
R21_G2,D21,NAND,CLK
R21_G3,D21,NAND,R21_G2
R21_G4,R21_G2,NAND,R21_G5
R21_G5,R21_G3,NAND,R21_G4
R21_G6,R21_G4,NAND,CLK_BAR
R21_G7,R21_G4,NAND,R21_G6
R21_G8,R21_G6,NAND,Q21_BAR
Q21_BAR,R21_G7,NAND,R21_G8
Q21,Q21_BAR,NAND,Q21_BAR
R22_G2,D22,NAND,CLK
R22_G3,D22,NAND,R22_G2
R22_G4,R22_G2,NAND,R22_G5
R22_G5,R22_G3,NAND,R22_G4
R22_G6,R22_G4,NAND,CLK_BAR
R22_G7,R22_G4,NAND,R22_G6
R22_G8,R22_G6,NAND,Q22_BAR
Q22_BAR,R22_G7,NAND,R22_G8
Q22,Q22_BAR,NAND,Q22_BAR
R23_G2,D23,NAND,CLK
R23_G3,D23,NAND,R23_G2
R23_G4,R23_G2,NAND,R23_G5
R23_G5,R23_G3,NAND,R23_G4
R23_G6,R23_G4,NAND,CLK_BAR
R23_G7,R23_G4,NAND,R23_G6
R23_G8,R23_G6,NAND,Q23_BAR
Q23_BAR,R23_G7,NAND,R23_G8
Q23,Q23_BAR,NAND,Q23_BAR
R24_G2,D24,NAND,CLK
R24_G3,D24,NAND,R24_G2
R24_G4,R24_G2,NAND,R24_G5
R24_G5,R24_G3,NAND,R24_G4
R24_G6,R24_G4,NAND,CLK_BAR
R24_G7,R24_G4,NAND,R24_G6
R24_G8,R24_G6,NAND,Q24_BAR
Q24_BAR,R24_G7,NAND,R24_G8
Q24,Q24_BAR,NAND,Q24_BAR
R25_G2,D25,NAND,CLK
R25_G3,D25,NAND,R25_G2
R25_G4,R25_G2,NAND,R25_G5
R25_G5,R25_G3,NAND,R25_G4
R25_G6,R25_G4,NAND,CLK_BAR
R25_G7,R25_G4,NAND,R25_G6
R25_G8,R25_G6,NAND,Q25_BAR
Q25_BAR,R25_G7,NAND,R25_G8
Q25,Q25_BAR,NAND,Q25_BAR
R26_G2,D26,NAND,CLK
R26_G3,D26,NAND,R26_G2
R26_G4,R26_G2,NAND,R26_G5
R26_G5,R26_G3,NAND,R26_G4
R26_G6,R26_G4,NAND,CLK_BAR
R26_G7,R26_G4,NAND,R26_G6
R26_G8,R26_G6,NAND,Q26_BAR
Q26_BAR,R26_G7,NAND,R26_G8
Q26,Q26_BAR,NAND,Q26_BAR
R27_G2,D27,NAND,CLK
R27_G3,D27,NAND,R27_G2
R27_G4,R27_G2,NAND,R27_G5
R27_G5,R27_G3,NAND,R27_G4
R27_G6,R27_G4,NAND,CLK_BAR
R27_G7,R27_G4,NAND,R27_G6
R27_G8,R27_G6,NAND,Q27_BAR
Q27_BAR,R27_G7,NAND,R27_G8
Q27,Q27_BAR,NAND,Q27_BAR
R28_G2,D28,NAND,CLK
R28_G3,D28,NAND,R28_G2
R28_G4,R28_G2,NAND,R28_G5
R28_G5,R28_G3,NAND,R28_G4
R28_G6,R28_G4,NAND,CLK_BAR
R28_G7,R28_G4,NAND,R28_G6
R28_G8,R28_G6,NAND,Q28_BAR
Q28_BAR,R28_G7,NAND,R28_G8
Q28,Q28_BAR,NAND,Q28_BAR
R29_G2,D29,NAND,CLK
R29_G3,D29,NAND,R29_G2
R29_G4,R29_G2,NAND,R29_G5
R29_G5,R29_G3,NAND,R29_G4
R29_G6,R29_G4,NAND,CLK_BAR
R29_G7,R29_G4,NAND,R29_G6
R29_G8,R29_G6,NAND,Q29_BAR
Q29_BAR,R29_G7,NAND,R29_G8
Q29,Q29_BAR,NAND,Q29_BAR
R30_G2,D30,NAND,CLK
R30_G3,D30,NAND,R30_G2
R30_G4,R30_G2,NAND,R30_G5
R30_G5,R30_G3,NAND,R30_G4
R30_G6,R30_G4,NAND,CLK_BAR
R30_G7,R30_G4,NAND,R30_G6
R30_G8,R30_G6,NAND,Q30_BAR
Q30_BAR,R30_G7,NAND,R30_G8
Q30,Q30_BAR,NAND,Q30_BAR
R31_G2,D31,NAND,CLK
R31_G3,D31,NAND,R31_G2
R31_G4,R31_G2,NAND,R31_G5
R31_G5,R31_G3,NAND,R31_G4
R31_G6,R31_G4,NAND,CLK_BAR
R31_G7,R31_G4,NAND,R31_G6
R31_G8,R31_G6,NAND,Q31_BAR
Q31_BAR,R31_G7,NAND,R31_G8
Q31,Q31_BAR,NAND,Q31_BAR
R32_G2,D32,NAND,CLK
R32_G3,D32,NAND,R32_G2
R32_G4,R32_G2,NAND,R32_G5
R32_G5,R32_G3,NAND,R32_G4
R32_G6,R32_G4,NAND,CLK_BAR
R32_G7,R32_G4,NAND,R32_G6
R32_G8,R32_G6,NAND,Q32_BAR
Q32_BAR,R32_G7,NAND,R32_G8
Q32,Q32_BAR,NAND,Q32_BAR
R33_G2,D33,NAND,CLK
R33_G3,D33,NAND,R33_G2
R33_G4,R33_G2,NAND,R33_G5
R33_G5,R33_G3,NAND,R33_G4
R33_G6,R33_G4,NAND,CLK_BAR
R33_G7,R33_G4,NAND,R33_G6
R33_G8,R33_G6,NAND,Q33_BAR
Q33_BAR,R33_G7,NAND,R33_G8
Q33,Q33_BAR,NAND,Q33_BAR
R34_G2,D34,NAND,CLK
R34_G3,D34,NAND,R34_G2
R34_G4,R34_G2,NAND,R34_G5
R34_G5,R34_G3,NAND,R34_G4
R34_G6,R34_G4,NAND,CLK_BAR
R34_G7,R34_G4,NAND,R34_G6
R34_G8,R34_G6,NAND,Q34_BAR
Q34_BAR,R34_G7,NAND,R34_G8
Q34,Q34_BAR,NAND,Q34_BAR
R35_G2,D35,NAND,CLK
R35_G3,D35,NAND,R35_G2
R35_G4,R35_G2,NAND,R35_G5
R35_G5,R35_G3,NAND,R35_G4
R35_G6,R35_G4,NAND,CLK_BAR
R35_G7,R35_G4,NAND,R35_G6
R35_G8,R35_G6,NAND,Q35_BAR
Q35_BAR,R35_G7,NAND,R35_G8
Q35,Q35_BAR,NAND,Q35_BAR
R36_G2,D36,NAND,CLK
R36_G3,D36,NAND,R36_G2
R36_G4,R36_G2,NAND,R36_G5
R36_G5,R36_G3,NAND,R36_G4
R36_G6,R36_G4,NAND,CLK_BAR
R36_G7,R36_G4,NAND,R36_G6
R36_G8,R36_G6,NAND,Q36_BAR
Q36_BAR,R36_G7,NAND,R36_G8
Q36,Q36_BAR,NAND,Q36_BAR
R37_G2,D37,NAND,CLK
R37_G3,D37,NAND,R37_G2
R37_G4,R37_G2,NAND,R37_G5
R37_G5,R37_G3,NAND,R37_G4
R37_G6,R37_G4,NAND,CLK_BAR
R37_G7,R37_G4,NAND,R37_G6
R37_G8,R37_G6,NAND,Q37_BAR
Q37_BAR,R37_G7,NAND,R37_G8
Q37,Q37_BAR,NAND,Q37_BAR
R38_G2,D38,NAND,CLK
R38_G3,D38,NAND,R38_G2
R38_G4,R38_G2,NAND,R38_G5
R38_G5,R38_G3,NAND,R38_G4
R38_G6,R38_G4,NAND,CLK_BAR
R38_G7,R38_G4,NAND,R38_G6
R38_G8,R38_G6,NAND,Q38_BAR
Q38_BAR,R38_G7,NAND,R38_G8
Q38,Q38_BAR,NAND,Q38_BAR
R39_G2,D39,NAND,CLK
R39_G3,D39,NAND,R39_G2
R39_G4,R39_G2,NAND,R39_G5
R39_G5,R39_G3,NAND,R39_G4
R39_G6,R39_G4,NAND,CLK_BAR
R39_G7,R39_G4,NAND,R39_G6
R39_G8,R39_G6,NAND,Q39_BAR
Q39_BAR,R39_G7,NAND,R39_G8
Q39,Q39_BAR,NAND,Q39_BAR
R40_G2,D40,NAND,CLK
R40_G3,D40,NAND,R40_G2
R40_G4,R40_G2,NAND,R40_G5
R40_G5,R40_G3,NAND,R40_G4
R40_G6,R40_G4,NAND,CLK_BAR
R40_G7,R40_G4,NAND,R40_G6
R40_G8,R40_G6,NAND,Q40_BAR
Q40_BAR,R40_G7,NAND,R40_G8
Q40,Q40_BAR,NAND,Q40_BAR
R41_G2,D41,NAND,CLK
R41_G3,D41,NAND,R41_G2
R41_G4,R41_G2,NAND,R41_G5
R41_G5,R41_G3,NAND,R41_G4
R41_G6,R41_G4,NAND,CLK_BAR
R41_G7,R41_G4,NAND,R41_G6
R41_G8,R41_G6,NAND,Q41_BAR
Q41_BAR,R41_G7,NAND,R41_G8
Q41,Q41_BAR,NAND,Q41_BAR
R42_G2,D42,NAND,CLK
R42_G3,D42,NAND,R42_G2
R42_G4,R42_G2,NAND,R42_G5
R42_G5,R42_G3,NAND,R42_G4
R42_G6,R42_G4,NAND,CLK_BAR
R42_G7,R42_G4,NAND,R42_G6
R42_G8,R42_G6,NAND,Q42_BAR
Q42_BAR,R42_G7,NAND,R42_G8
Q42,Q42_BAR,NAND,Q42_BAR
R43_G2,D43,NAND,CLK
R43_G3,D43,NAND,R43_G2
R43_G4,R43_G2,NAND,R43_G5
R43_G5,R43_G3,NAND,R43_G4
R43_G6,R43_G4,NAND,CLK_BAR
R43_G7,R43_G4,NAND,R43_G6
R43_G8,R43_G6,NAND,Q43_BAR
Q43_BAR,R43_G7,NAND,R43_G8
Q43,Q43_BAR,NAND,Q43_BAR
R44_G2,D44,NAND,CLK
R44_G3,D44,NAND,R44_G2
R44_G4,R44_G2,NAND,R44_G5
R44_G5,R44_G3,NAND,R44_G4
R44_G6,R44_G4,NAND,CLK_BAR
R44_G7,R44_G4,NAND,R44_G6
R44_G8,R44_G6,NAND,Q44_BAR
Q44_BAR,R44_G7,NAND,R44_G8
Q44,Q44_BAR,NAND,Q44_BAR
R45_G2,D45,NAND,CLK
R45_G3,D45,NAND,R45_G2
R45_G4,R45_G2,NAND,R45_G5
R45_G5,R45_G3,NAND,R45_G4
R45_G6,R45_G4,NAND,CLK_BAR
R45_G7,R45_G4,NAND,R45_G6
R45_G8,R45_G6,NAND,Q45_BAR
Q45_BAR,R45_G7,NAND,R45_G8
Q45,Q45_BAR,NAND,Q45_BAR
R46_G2,D46,NAND,CLK
R46_G3,D46,NAND,R46_G2
R46_G4,R46_G2,NAND,R46_G5
R46_G5,R46_G3,NAND,R46_G4
R46_G6,R46_G4,NAND,CLK_BAR
R46_G7,R46_G4,NAND,R46_G6
R46_G8,R46_G6,NAND,Q46_BAR
Q46_BAR,R46_G7,NAND,R46_G8
Q46,Q46_BAR,NAND,Q46_BAR
R47_G2,D47,NAND,CLK
R47_G3,D47,NAND,R47_G2
R47_G4,R47_G2,NAND,R47_G5
R47_G5,R47_G3,NAND,R47_G4
R47_G6,R47_G4,NAND,CLK_BAR
R47_G7,R47_G4,NAND,R47_G6
R47_G8,R47_G6,NAND,Q47_BAR
Q47_BAR,R47_G7,NAND,R47_G8
Q47,Q47_BAR,NAND,Q47_BAR
